"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","19/151","123/5361",0.154471544715447,5.48425133257955,8.56469223131904,8.97143209414751e-10,1.91988646814757e-07,1.82261725702155e-07,"16185/16184/22163/12977/16878/16153/12458/21813/12773/16197/20297/16992/60505/17329/12772/21812/12769/20304/107527",19
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","12/151","45/5361",0.266666666666667,9.46754966887417,9.71009615131618,2.07964606200097e-09,2.22522128634104e-07,2.11248257876941e-07,"16185/16184/12977/16153/12458/12773/20297/16992/17329/12772/12769/20304",12
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","10/151","84/5361",0.119047619047619,4.22658467360454,5.07389142178559,0.000107689902540033,0.00768187971452237,0.00729268462814962,"18439/18619/170483/14428/54598/14608/22072/14063/14061/11542",10
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","10/151","95/5361",0.105263157894737,3.73719065876612,4.58224632211356,0.00030231693726511,0.0161739561436834,0.0153545181295174,"16185/16184/16878/16153/16197/11761/60505/12700/216233/18712",10
