"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001819","positive regulation of cytokine production","23/307","355/11987",0.0647887323943662,2.52971509840804,4.74332012508095,4.25220028296193e-05,0.0024328162274651,0.00199952472322196,"Tigit/Trpv4/Cybb/P2rx7/Pou2f2/Cd83/Nlrp1a/Arrdc4/Oas1e/Il10/Slamf1/Klrk1/Foxp3/Ccl20/Ifi208/Lta/Il21/Ighd/App/Ccr2/F2rl1/Ccl5/Il1rl2",23
"GO:0022407","regulation of cell-cell adhesion","23/307","360/11987",0.0638888888888889,2.4945801664857,4.66789987428849,5.27809201473294e-05,0.00297105502119645,0.00244190165367526,"Ctla4/Il2ra/Tigit/Lef1/Trpv4/Icos/Cd83/Lag3/Twsg1/Pdcd1lg2/Il10/Tgfbr2/Adam19/Cd80/Slamf1/Foxp3/Il7r/Lrrc32/Il21/Lyn/Ccr2/Ccl5/Il1rl2",23
"GO:0007204","positive regulation of cytosolic calcium ion concentration","10/307","84/11987",0.119047619047619,4.64828602450752,5.43982850975387,5.413596368708e-05,0.00299896052806205,0.00246483711023046,"Trpv4/P2rx7/Cacna1g/Galr2/Ccr6/Ccr4/Trpm4/Ccr2/F2rl1/Ccr9",10
"GO:1990868","response to chemokine","7/307","41/11987",0.170731707317073,6.66632239612298,5.89205588078472,7.18049503903918e-05,0.00385537349019181,0.00316872048281486,"Ccr6/Ccr4/Lyn/Cxcl9/Ccr2/Ccr9/Ccl5",7
"GO:1990869","cellular response to chemokine","7/307","41/11987",0.170731707317073,6.66632239612298,5.89205588078472,7.18049503903918e-05,0.00385537349019181,0.00316872048281486,"Ccr6/Ccr4/Lyn/Cxcl9/Ccr2/Ccr9/Ccl5",7
"GO:0042113","B cell activation","17/307","227/11987",0.0748898678414097,2.9241200189413,4.74489196834691,7.5466239179136e-05,0.0039905632535634,0.00327983256400551,"Ctla4/Lef1/Tnfrsf4/Pou2f2/Ezh2/Il10/Ccr6/Cd79b/Foxp3/Il7r/Notch2/Ahr/Il21/Lyn/Ighd/Ikzf3/Id2",17
"GO:0071887","leukocyte apoptotic process","11/307","106/11987",0.10377358490566,4.05190215721222,5.11660562469162,8.30202059217782e-05,0.00426375067884586,0.00350436453019303,"Il2ra/Tnfrsf4/P2rx7/Rorc/Il10/Fcmr/Il7r/Il21/Lyn/Bcl2l11/Ccl5",11
"GO:0031640","killing of cells of another organism","7/307","42/11987",0.166666666666667,6.50760043431053,5.79667426679647,8.42976495244597e-05,0.00426375067884586,0.00350436453019303,"Gbp2b/Gbp3/Ccl20/Cxcl9/Bcl2l11/F2rl1/F2",7
"GO:0141061","disruption of cell in another organism","7/307","42/11987",0.166666666666667,6.50760043431053,5.79667426679647,8.42976495244597e-05,0.00426375067884586,0.00350436453019303,"Gbp2b/Gbp3/Ccl20/Cxcl9/Bcl2l11/F2rl1/F2",7
"GO:0050672","negative regulation of lymphocyte proliferation","9/307","72/11987",0.125,4.8807003257329,5.35444220204498,8.70047612567032e-05,0.00433780881122706,0.00356523269811303,"Ctla4/Il2ra/Twsg1/Pdcd1lg2/Il10/Cd80/Foxp3/Lrrc32/Lyn",9
"GO:0002696","positive regulation of leukocyte activation","19/307","276/11987",0.0688405797101449,2.68792191851957,4.59933249071685,8.97064483959709e-05,0.00440951415354843,0.00362416711458889,"Il2ra/Lef1/Tnfrsf4/Icos/Cd83/Pdcd1lg2/Il10/Tgfbr2/Cd80/Slamf1/Klrk1/Foxp3/Il7r/Il21/Ighd/Ccr2/Lyst/Ccl5/Il1rl2",19
"GO:0030888","regulation of B cell proliferation","8/307","57/11987",0.140350877192982,5.4800845762615,5.49652644550907,9.37104467547566e-05,0.00453782278936735,0.00372962361665692,"Ctla4/Tnfrsf4/Il10/Ahr/Il21/Lyn/Ighd/Ikzf3",8
"GO:0002444","myeloid leukocyte mediated immunity","9/307","73/11987",0.123287671232877,4.81384141716121,5.29883218997694,9.70436303581719e-05,0.00453782278936735,0.00372962361665692,"Stx11/Fes/Dnase1/Lyn/Ccr2/Lyst/F2rl1/F2/Adora3",9
"GO:0032945","negative regulation of mononuclear cell proliferation","9/307","73/11987",0.123287671232877,4.81384141716121,5.29883218997694,9.70436303581719e-05,0.00453782278936735,0.00372962361665692,"Ctla4/Il2ra/Twsg1/Pdcd1lg2/Il10/Cd80/Foxp3/Lrrc32/Lyn",9
"GO:0001776","leukocyte homeostasis","11/307","108/11987",0.101851851851852,3.97686693207866,5.03809394430856,9.84607543564798e-05,0.00453782278936735,0.00372962361665692,"Il2ra/Tnfrsf4/P2rx7/Csf1/Foxp3/Il7r/Ahr/Lyn/Gpr174/Ccr2/Bcl2l11",11
"GO:0002274","myeloid leukocyte activation","14/307","167/11987",0.0838323353293413,3.27328405079093,4.7960986263858,9.88179174761944e-05,0.00453782278936735,0.00372962361665692,"Stx11/Fes/Il10/Tgfbr2/Slamf1/Klrk1/Notch2/Dnase1/Lyn/App/Ccr2/F2rl1/Adora3/Ccl5",14
"GO:0002685","regulation of leukocyte migration","13/307","147/11987",0.0884353741496599,3.45301247534845,4.85140438182463,0.000101703305387334,0.00457158603197007,0.00375737352951846,"Trpv4/Csf1/Ccr6/Slamf1/Klrk1/Ccl20/Lyn/App/Ccr2/F2rl1/Ecm1/Adora3/Ccl5",13
"GO:0001934","positive regulation of protein phosphorylation","23/307","376/11987",0.0611702127659574,2.38842781897567,4.43473138795323,0.000102172982949474,0.00457158603197007,0.00375737352951846,"Nrp1/Ptpn5/Tead1/Niban1/P2rx7/Csf1/Ezh2/Lif/Cd80/Prr5l/Notch2/Il21/Lyn/Sesn2/App/Dab2ip/Mrnip/Snx9/Pim1/F2/Ntrk3/Ccl5/Slc1a1",23
"GO:0002440","production of molecular mediator of immune response","16/307","211/11987",0.0758293838862559,2.96080398907019,4.65866427137111,0.000105852710955892,0.00461278941917071,0.00379123847601876,"Tnfrsf4/P2rx7/Pou2f2/Ezh2/Il10/Ccr6/Slamf1/Foxp3/Il7r/Trpm4/Il21/Ighd/Ccr2/F2rl1/Samhd1/Nipal3",16
"GO:0042267","natural killer cell mediated cytotoxicity","8/307","58/11987",0.137931034482759,5.38560035942941,5.42782621610332,0.000106320390494144,0.00461278941917071,0.00379123847601876,"Lag3/Stx11/Klrd1/Klrk1/Il21/Klrb1a/Lyst/Klrb1c",8
"GO:0050671","positive regulation of lymphocyte proliferation","11/307","109/11987",0.100917431192661,3.94038191435317,4.99954215226015,0.000107059009442071,0.00461278941917071,0.00379123847601876,"Il2ra/Tnfrsf4/Pdcd1lg2/Tgfbr2/Cd80/Slamf1/Foxp3/Il21/Ighd/Ccr2/Ccl5",11
"GO:0051251","positive regulation of lymphocyte activation","18/307","257/11987",0.0700389105058366,2.73471146655851,4.55753180252144,0.000110338991965451,0.00469613514584662,0.00385974009121762,"Il2ra/Lef1/Tnfrsf4/Icos/Cd83/Pdcd1lg2/Il10/Tgfbr2/Cd80/Slamf1/Foxp3/Il7r/Il21/Ighd/Ccr2/Lyst/Ccl5/Il1rl2",18
"GO:0071674","mononuclear cell migration","12/307","129/11987",0.0930232558139535,3.63214907961518,4.87286655641583,0.000115690484064758,0.00486457577573499,0.00399818096482517,"Trpv4/Csf1/Ccr6/Slamf1/Klrk1/Ccl20/Trpm4/Lyn/App/Ccr2/Ecm1/Ccl5",12
"GO:1903305","regulation of regulated secretory pathway","10/307","92/11987",0.108695652173913,4.24408723976774,5.06394661038092,0.000118051451157646,0.00490475672071648,0.00403120556897976,"P2rx7/Cacna1g/Unc13b/Fes/Ncs1/Lyn/Ccr2/F2rl1/Adora3/Syt15",10
"GO:0070664","negative regulation of leukocyte proliferation","9/307","75/11987",0.12,4.68547231270358,5.19058545279597,0.000120052582401066,0.00492921779505555,0.00405131005625889,"Ctla4/Il2ra/Twsg1/Pdcd1lg2/Il10/Cd80/Foxp3/Lrrc32/Lyn",9
"GO:0141060","disruption of anatomical structure in another organism","7/307","45/11987",0.155555555555556,6.0737604053565,5.52818516881463,0.000132776273398117,0.00538824644371428,0.00442858439424564,"Gbp2b/Gbp3/Ccl20/Cxcl9/Bcl2l11/F2rl1/F2",7
"GO:0007159","leukocyte cell-cell adhesion","20/307","309/11987",0.0647249190938511,2.52722346963516,4.40943044888206,0.00013668191742906,0.00548298726238412,0.00450645160307547,"Ctla4/Il2ra/Tigit/Nt5e/Lef1/Icos/Cd83/Lag3/Twsg1/Pdcd1lg2/Tgfbr2/Cd80/Slamf1/Foxp3/Il7r/Lrrc32/Il21/Ccr2/Ccl5/Il1rl2",20
"GO:0043433","negative regulation of DNA-binding transcription factor activity","11/307","113/11987",0.0973451327433628,3.80089936871235,4.84979194829468,0.000148160465764167,0.00587590938087435,0.00482939317233678,"Tnfrsf4/Ezh2/Fzd6/Foxp3/Gfi1/Dab2ip/Pim1/Adora3/Tmigd3/Id2/Dap",11
"GO:1903037","regulation of leukocyte cell-cell adhesion","19/307","287/11987",0.0662020905923345,2.58490052094565,4.40590297111222,0.000149863348424875,0.00587666388767207,0.0048300132993233,"Ctla4/Il2ra/Tigit/Lef1/Icos/Cd83/Lag3/Twsg1/Pdcd1lg2/Tgfbr2/Cd80/Slamf1/Foxp3/Il7r/Lrrc32/Il21/Ccr2/Ccl5/Il1rl2",19
"GO:0001818","negative regulation of cytokine production","16/307","218/11987",0.073394495412844,2.86573230134776,4.50705335086433,0.00015483631453449,0.00600420819694857,0.00493484160358463,"Tigit/Lef1/Tnfrsf4/Cd83/Lag3/Ezh2/Oas1e/Twsg1/Pdcd1lg2/Il10/Slamf1/Foxp3/Lrrc32/Gpr174/F2rl1/F2",16
"GO:0002377","immunoglobulin production","11/307","114/11987",0.0964912280701754,3.76755814617978,4.81342100621799,0.000160312439997093,0.00614824632516325,0.00505322613061977,"Tnfrsf4/Pou2f2/Ezh2/Il10/Ccr6/Foxp3/Il7r/Il21/Ighd/Samhd1/Nipal3",11
"GO:0050867","positive regulation of cell activation","19/307","289/11987",0.0657439446366782,2.56701193602561,4.37169968590015,0.000163984051633456,0.00622069935000829,0.00511277506523076,"Il2ra/Lef1/Tnfrsf4/Icos/Cd83/Pdcd1lg2/Il10/Tgfbr2/Cd80/Slamf1/Klrk1/Foxp3/Il7r/Il21/Ighd/Ccr2/Lyst/Ccl5/Il1rl2",19
"GO:0002228","natural killer cell mediated immunity","8/307","62/11987",0.129032258064516,5.03814227172428,5.16812691089922,0.00017163553194873,0.00641943417713946,0.00527611465320616,"Lag3/Stx11/Klrd1/Klrk1/Il21/Klrb1a/Lyst/Klrb1c",8
"GO:0043029","T cell homeostasis","7/307","47/11987",0.148936170212766,5.81530251576686,5.36235108703497,0.000176133080664961,0.00641943417713946,0.00527611465320616,"Il2ra/Tnfrsf4/P2rx7/Il7r/Ahr/Gpr174/Bcl2l11",7
"GO:0002517","T cell tolerance induction","4/307","12/11987",0.333333333333333,13.0152008686211,6.75101076791443,0.00017750570840982,0.00641943417713946,0.00527611465320616,"Il2ra/Icos/Tgfbr2/Foxp3",4
"GO:0090025","regulation of monocyte chemotaxis","4/307","12/11987",0.333333333333333,13.0152008686211,6.75101076791443,0.00017750570840982,0.00641943417713946,0.00527611465320616,"Lyn/App/Ccr2/Ccl5",4
