"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","25/269","123/5361",0.203252032520325,4.0506845588902,7.86649824122144,1.07922489043906e-09,3.0002451954206e-07,2.69238209509535e-07,"16185/16184/16190/22163/12977/16878/225392/21941/21943/16153/12458/21813/16178/12145/12168/12773/12775/11482/16197/50498/12766/15945/21949/20297/23832",25
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","12/269","45/5361",0.266666666666667,5.31449814126394,6.67972209486454,1.29799180319906e-06,0.000180420860644669,0.000161907398609566,"16185/16184/12977/16153/12458/12145/12773/12775/12766/15945/20297/23832",12
"Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecule (CAM) interaction","15/269","83/5361",0.180722891566265,3.60169301742285,5.49003030763725,1.21469863782524e-05,0.00112562073771805,0.00101011781461257,"12477/100043314/20343/54167/11658/16412/18566/171171/58205/16401/320910/16408/12519/12483/16410",15
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","13/269","92/5361",0.141304347826087,2.81610635202845,4.03817772792278,0.000603408191745347,0.0419368693263016,0.0376336161693809,"16185/16184/16190/19885/15251/21813/18018/16364/22637/19883/19055/50498/11622",13
