"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","comparison"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.167919799498747,0.357742181540809,0.170932335370056,0.393574921335845,1.19170352514288,135,"ENSMUSG00000002489;ENSMUSG00000037820;ENSMUSG00000030029;ENSMUSG00000018900;ENSMUSG00000042474;ENSMUSG00000032578;ENSMUSG00000060675;ENSMUSG00000024935;ENSMUSG00000032349;ENSMUSG00000042105;ENSMUSG00000066026;ENSMUSG00000024521;ENSMUSG00000052302;ENSMUSG00000017210","Stable_Treg_vs_Never_Treg"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.224226804123711,0.457796391752577,0.148261500475107,0.432890098550023,1.17308254284191,59,"ENSMUSG00000026483;ENSMUSG00000022636;ENSMUSG00000056749;ENSMUSG00000028211;ENSMUSG00000024378;ENSMUSG00000040128;ENSMUSG00000001467;ENSMUSG00000027907;ENSMUSG00000000440;ENSMUSG00000006932;ENSMUSG00000058454;ENSMUSG00000006517;ENSMUSG00000031349;ENSMUSG00000025203;ENSMUSG00000041939;ENSMUSG00000031168","Stable_Treg_vs_Never_Treg"
"HALLMARK_COMPLEMENT",0.247135842880524,0.484386252045827,0.108394255853397,-0.369823211545284,-1.09910278860016,131,"ENSMUSG00000050335;ENSMUSG00000070371;ENSMUSG00000020901;ENSMUSG00000063903;ENSMUSG00000000957;ENSMUSG00000015468;ENSMUSG00000027249;ENSMUSG00000031132;ENSMUSG00000042622;ENSMUSG00000042385;ENSMUSG00000026827;ENSMUSG00000025498;ENSMUSG00000003617;ENSMUSG00000026399;ENSMUSG00000024789;ENSMUSG00000024238;ENSMUSG00000061119","Stable_Treg_vs_Never_Treg"
"HALLMARK_PANCREAS_BETA_CELLS",0.270034843205575,0.50891181988743,0.106729884364606,-0.573262922529359,-1.18899923003888,15,"ENSMUSG00000074622;ENSMUSG00000021587","Stable_Treg_vs_Never_Treg"
"HALLMARK_P53_PATHWAY",0.313471502590674,0.553108808290155,0.123257226381337,0.341281256605288,1.04999444554495,166,"ENSMUSG00000038332;ENSMUSG00000020108;ENSMUSG00000037706;ENSMUSG00000028521;ENSMUSG00000026475;ENSMUSG00000026821;ENSMUSG00000001020;ENSMUSG00000028793;ENSMUSG00000000184;ENSMUSG00000022822;ENSMUSG00000041959;ENSMUSG00000028680;ENSMUSG00000024486;ENSMUSG00000023186;ENSMUSG00000036781;ENSMUSG00000002603;ENSMUSG00000027215;ENSMUSG00000037235;ENSMUSG00000040997;ENSMUSG00000030263;ENSMUSG00000048376;ENSMUSG00000020891;ENSMUSG00000031392;ENSMUSG00000025888;ENSMUSG00000038776;ENSMUSG00000056708;ENSMUSG00000021661;ENSMUSG00000034394;ENSMUSG00000001156;ENSMUSG00000030246;ENSMUSG00000001280;ENSMUSG00000023953","Stable_Treg_vs_Never_Treg"
"HALLMARK_PROTEIN_SECRETION",0.316062176165803,0.553108808290155,0.122679189568808,0.369576890801545,1.04976042240784,87,"ENSMUSG00000062995;ENSMUSG00000026131;ENSMUSG00000030560;ENSMUSG00000007458;ENSMUSG00000021248;ENSMUSG00000023830;ENSMUSG00000029048;ENSMUSG00000054693;ENSMUSG00000022789;ENSMUSG00000030754;ENSMUSG00000041891;ENSMUSG00000016534;ENSMUSG00000035152;ENSMUSG00000047126;ENSMUSG00000026718;ENSMUSG00000032458","Stable_Treg_vs_Never_Treg"
"HALLMARK_HYPOXIA",0.381313131313131,0.644287704632532,0.108394255853397,0.336495421706497,1.01200849367139,133,"ENSMUSG00000024014;ENSMUSG00000037820;ENSMUSG00000003153;ENSMUSG00000020108;ENSMUSG00000056749;ENSMUSG00000001020;ENSMUSG00000040128;ENSMUSG00000017009;ENSMUSG00000032231;ENSMUSG00000026864;ENSMUSG00000037012;ENSMUSG00000023087;ENSMUSG00000039236;ENSMUSG00000024190;ENSMUSG00000033350;ENSMUSG00000028278;ENSMUSG00000019916;ENSMUSG00000017677;ENSMUSG00000022443;ENSMUSG00000050965;ENSMUSG00000000078;ENSMUSG00000028645;ENSMUSG00000039308","Stable_Treg_vs_Never_Treg"
"HALLMARK_UV_RESPONSE_UP",0.410130718954248,0.669880174291939,0.0789209638180035,-0.347018089376115,-1.02597318783952,125,"ENSMUSG00000059146;ENSMUSG00000000957;ENSMUSG00000091705;ENSMUSG00000033022;ENSMUSG00000047547;ENSMUSG00000037580;ENSMUSG00000026456;ENSMUSG00000036078","Stable_Treg_vs_Never_Treg"
"HALLMARK_ANDROGEN_RESPONSE",0.438311688311688,0.692815249266862,0.0751181635276301,-0.359855686985601,-1.00688798004713,87,"ENSMUSG00000015143;ENSMUSG00000063903;ENSMUSG00000019970;ENSMUSG00000022471;ENSMUSG00000035049;ENSMUSG00000045294;ENSMUSG00000056131;ENSMUSG00000063177;ENSMUSG00000070348;ENSMUSG00000031584;ENSMUSG00000031309;ENSMUSG00000034926;ENSMUSG00000029804","Stable_Treg_vs_Never_Treg"
"HALLMARK_XENOBIOTIC_METABOLISM",0.459504132231405,0.703615702479339,0.0736212741014394,-0.336801920505408,-1.00053841337394,134,"ENSMUSG00000017493;ENSMUSG00000040703;ENSMUSG00000002769;ENSMUSG00000074207;ENSMUSG00000024899;ENSMUSG00000023044;ENSMUSG00000020644;ENSMUSG00000033022;ENSMUSG00000023235;ENSMUSG00000037580;ENSMUSG00000033318;ENSMUSG00000029810;ENSMUSG00000021236;ENSMUSG00000001552","Stable_Treg_vs_Never_Treg"
