"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","42/650","123/5361",0.341463414634146,2.8162851782364,7.56896276270478,9.69980552497817e-11,3.15243679561791e-08,2.98141390873013e-08,"16185/16184/22163/12977/21941/21943/16153/12458/12145/12168/12773/11482/50498/21949/15979/16992/60505/16154/21936/12772/22035/16162/21812/21809/16189/21938/16157/21942/16155/20300/12769/17700/21947/21803/269275/14561/80901/16183/209590/14103/107527/16963",42
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","17/650","45/5361",0.377777777777778,3.11579487179487,5.29382830826343,8.85288453353513e-06,0.00143859373669946,0.00136054857041698,"16185/16184/12977/16153/12458/12145/12773/16992/16154/12772/22035/21938/16155/20300/12769/16183/16963",17
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","15/650","47/5361",0.319148936170213,2.63224222585925,4.17450786646319,0.000274636424704622,0.0297522793430007,0.0281381880749999,"17132/19885/16153/20371/15979/60505/14462/16162/21809/16189/14969/21803/17126/16183/209590",15
