"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032922","circadian regulation of gene expression","2/22","71/28832",0.028169014084507,36.9167733674776,8.37325007364586,0.001337786931849,0.0350807683625388,0.0201538884217699,"Maged1/Bhlhe40",2
"GO:0006949","syncytium formation","2/22","72/28832",0.0277777777777778,36.4040404040404,8.31178305820536,0.00137537445130204,0.0350807683625388,0.0201538884217699,"Casp1/Cxcl10",2
"GO:0001906","cell killing","3/22","294/28832",0.0102040816326531,13.3729128014842,5.89255188086249,0.00139993676564122,0.0350807683625388,0.0201538884217699,"Dnase1l3/Slamf6/Cxcl10",3
"GO:0060986","endocrine hormone secretion","2/22","75/28832",0.0266666666666667,34.9478787878788,8.13469080225939,0.001491151504889,0.0352905856157063,0.0202744283559469,"Ptpn11/Vdr",2
"GO:1905330","regulation of morphogenesis of an epithelium","2/22","75/28832",0.0266666666666667,34.9478787878788,8.13469080225939,0.001491151504889,0.0352905856157063,0.0202744283559469,"Maged1/Cxcl10",2
"GO:0032732","positive regulation of interleukin-1 production","2/22","79/28832",0.0253164556962025,33.1783659378596,7.91417253603185,0.00165252795300195,0.0380528058366936,0.0218613228491012,"Casp4/Casp1",2
"GO:0061180","mammary gland epithelium development","2/22","82/28832",0.024390243902439,31.9645232815965,7.75928965031114,0.00177879053538024,0.0396639262093745,0.0227869109060528,"Sostdc1/Vdr",2
"GO:0002699","positive regulation of immune effector process","3/22","322/28832",0.0093167701863354,12.2100508187465,5.58993133155842,0.00181560225606292,0.0396639262093745,0.0227869109060528,"Casp4/Slamf6/Casp1",3
"GO:0045661","regulation of myoblast differentiation","2/22","88/28832",0.0227272727272727,29.7851239669421,7.47317930456241,0.00204468154690829,0.0435517169491465,0.0250204452450619,"Sostdc1/Cxcl10",2
"GO:0071222","cellular response to lipopolysaccharide","3/22","342/28832",0.0087719298245614,11.4960127591707,5.39586086573832,0.00215518084076281,0.0443095107567362,0.0254557975066498,"Casp1/Ptpn11/Cxcl10",3
"GO:0002720","positive regulation of cytokine production involved in immune response","2/22","91/28832",0.021978021978022,28.8031968031968,7.3406422154797,0.00218427165702221,0.0443095107567362,0.0254557975066498,"Casp4/Casp1",2
"GO:0071219","cellular response to molecule of bacterial origin","3/22","351/28832",0.00854700854700855,11.2012432012432,5.3137192783578,0.00232004619034661,0.0459692873064027,0.0264093385192454,"Casp1/Ptpn11/Cxcl10",3
"GO:0048511","rhythmic process","3/22","364/28832",0.00824175824175824,10.8011988011988,5.20021112205146,0.00257174304998554,0.0497982972406292,0.0286091033072554,"Casp1/Maged1/Bhlhe40",3
