"exTreg","exTreg-Nov19","exTreg-Nov21","Never-Treg-Nov11","Never-Treg-Nov19-2","Never-Treg-Nov21","Recent-Treg","Recent-Treg-Nov19","Recent-Treg-Nov21","Stable-Treg-Nov11","Stable-Treg-Nov19-2","Stable-Treg-Nov21-2","gene_id","gene_name"
154.290650522715,84.1421135156373,106.494457323099,134.440120516828,79.6924013725713,121.779471825165,85.93788037843,146.48162255039,101.105498564652,139.283143854896,147.402286420717,127.398924874277,"ENSMUSG00000098104","Gm6085"
0,0,0,0,299.135245731826,0,0,0,12.9320986536183,0,226.772748339565,0,"ENSMUSG00000103265","Gm2053"
76.2881549806759,16.2855703578653,371.291486342697,106.504511058786,97.0168364535651,26.8863768964649,262.396994755473,28.0304339448277,128.145341204036,8.60738529440368,0,9.47595308982224,"ENSMUSG00000103922","Gm6123"
1843.77327374645,3495.06434957964,1854.53861266262,685.295419517598,1914.92755761918,2071.83257260995,1408.23539980121,1317.4303954069,946.39449237843,1284.06538801059,311.812528966902,3317.63646511443,"ENSMUSG00000033845","Mrpl15"
0.857170280681751,39.8091719858929,3.8376381017333,123.091279174499,21.9442844359254,0,2.29167681009147,0,4.70258132858847,0,0,0,"ENSMUSG00000102275","Gm37144"
3071.24111568271,5559.71276939345,3380.95916762704,3952.88873831297,2579.0309023906,3429.59460588143,3010.11749005514,3773.25809199246,3075.48818889686,2737.93101319259,7814.5889077814,5029.62532334231,"ENSMUSG00000025903","Lypla1"
5231.31022300073,6802.84464004384,4851.73397011633,6213.0541410277,4938.61896042195,7651.54655441749,4463.04058765313,4634.06367636265,4359.29289160151,5968.04796731063,8742.08944849022,6335.20108238449,"ENSMUSG00000033813","Tcea1"
1721.19792360896,2069.17218935766,2500.22122327925,1751.21351790102,1569.59381833803,1445.53814608053,1518.2358866856,3643.95641282761,1594.17507039149,1799.72601610259,349.23003244293,2177.36344330582,"ENSMUSG00000033793","Atp6v1h"
7018.51025822218,11526.5647977335,10191.8073886782,7721.57705176198,10719.2054657802,15316.5362972832,11085.9865688175,11504.2326154853,11634.1862069279,11490.8593680289,9235.32017612878,11500.6484000143,"ENSMUSG00000025907","Rb1cc1"
735.452100824943,636.041997865516,394.317314953097,50.6332921427015,287.585622344496,101.21930125728,160.417376706403,283.0169620881,657.185740670239,17.9972601610259,720.003475978118,1604.5947232099,"ENSMUSG00000090031","4732440D04Rik"
11.1432136488628,21.7140938104871,12.4723238306332,30.5545728447337,21.9442844359254,30.0494800607549,24.0626065059604,18.0841509321469,22.3372613107952,15.6497914443703,23.8111385756543,22.1105572095852,"ENSMUSG00000102135","Gm37108"
