"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_name"
24440.2519520468,8.50682717262281,0.248895057549641,34.1783692146083,5.06869902358714e-256,8.14793368041633e-252,"ENSMUSG00000039521","Foxp3"
8312.80246610111,4.80819930322792,0.336020275239567,14.3092535109671,1.9155845579845e-46,1.53965108848004e-42,"ENSMUSG00000026950","Neb"
82.5429490620586,-43.7805887828691,3.49104522438642,-12.5408254459276,4.46322163400403e-36,2.39154292555382e-32,"ENSMUSG00000055320","Tead1"
33457.2090845303,4.08264726114691,0.339664760495211,12.0196374071736,2.80198294019471e-33,1.12604689409075e-29,"ENSMUSG00000026770","Il2ra"
45301.4345487107,-2.58926857717538,0.217568242609718,-11.9009490820777,1.17008794757554e-32,3.76183275145535e-29,"ENSMUSG00000000782","Tcf7"
100.99263193212,-36.7480528789221,3.20226897571266,-11.4756296730957,1.74899800628349e-30,4.68585715850118e-27,"ENSMUSG00000064952","Gm24920"
314.239718225602,-27.5125109242218,2.48392896199198,-11.0762068260431,1.63660144239648e-28,3.75833831236049e-25,"ENSMUSG00000011171","Vipr2"
121.555971754516,-31.9000744058347,3.04427925895844,-10.4786951827635,1.08226581776892e-25,2.17467787757943e-22,"ENSMUSG00000051590","Map3k19"
246.849393923015,-24.3151615167073,2.32348302312043,-10.4649619879951,1.25126749149435e-25,2.23490276953018e-22,"ENSMUSG00000059901","Adamts14"
27.4622322461213,-42.5337680258441,4.24837901109493,-10.0117639962829,1.353179075643e-23,2.17523536409613e-20,"ENSMUSG00000099428","Gm28155"
20.7082070872071,-42.1556834787066,4.24877475717828,-9.92184474064784,3.34515534193955e-23,4.88848837469803e-20,"ENSMUSG00000020866","Cacna1g"
62.9544803017367,-28.8845345647959,2.97010105201365,-9.72510162413935,2.35669954437463e-22,3.15699543131851e-19,"ENSMUSG00000097817","Gm26810"
776.693020955303,-9.68386548059769,1.00073130735002,-9.6767887738428,3.78415293368199e-22,4.34501845778128e-19,"ENSMUSG00000015745","Plekho1"
9794.0349110187,-3.88556501857153,0.401244308958775,-9.68378848451341,3.53373161049685e-22,4.34501845778128e-19,"ENSMUSG00000027901","Dennd2d"
150.798452089414,23.6857170968876,2.470854091352,9.58604442884252,9.15268651941426e-22,9.80862905330562e-19,"ENSMUSG00000028550","Atg4c"
1301.0297078082,-14.7296462975032,1.54165341305689,-9.55444730492074,1.24245312375859e-21,1.24827712277621e-18,"ENSMUSG00000027718","Il21"
5898.52662463186,2.29119149182624,0.240610159620746,9.52242205997308,1.69188942378151e-21,1.59983073454634e-18,"ENSMUSG00000030748","Il4ra"
183.865568646344,-27.5811781181659,2.90675374922844,-9.48865314975063,2.3403851283563e-21,2.09009394101819e-18,"ENSMUSG00000047414","Flrt2"
18.5813182565351,-40.5138529973135,4.29760372447362,-9.42707973901799,4.21664955329773e-21,3.56750745101373e-18,"ENSMUSG00000092253","H2-Q3"
64.7100102195495,-29.092373740174,3.0886753734272,-9.4190454556877,4.55207347230749e-21,3.65872905336715e-18,"ENSMUSG00000103303","Gm37802"
86.7954754972157,-26.8448075976164,2.86620125221249,-9.36598837115651,7.53417943516574e-21,5.76723497239473e-18,"ENSMUSG00000001435","Col18a1"
37.6331807609769,-39.8476643207722,4.29743184296576,-9.27243660326963,1.81941207009825e-20,1.32941131940134e-17,"ENSMUSG00000044024","Rell2"
76.4543933708412,-31.0359630804114,3.36613362722088,-9.2200626943129,2.96926556301432e-20,2.07525843154153e-17,"ENSMUSG00000083246","Gm11839"
44.3637443985384,-34.2532788322067,3.74652209514303,-9.14268699405575,6.09195122670946e-20,4.08033816538978e-17,"ENSMUSG00000050335","Lgals3"
153.646270343889,-27.0660699585447,2.97861234360452,-9.08680514154827,1.01991955262722e-19,6.55808272339302e-17,"ENSMUSG00000040938","Slc16a11"
38.9830789823124,-38.3705017635234,4.24950262725426,-9.0294100578815,1.72599748646665e-19,1.06713113826736e-16,"ENSMUSG00000067878","Mtap7d3"
70.8815482637258,-27.3631100650542,3.16739422085062,-8.63899728203258,5.67085247939646e-18,3.27741192898907e-15,"ENSMUSG00000033544","Angptl1"
130.120029814062,-24.3703605924056,2.82121926952205,-8.63823696927118,5.70871129155172e-18,3.27741192898907e-15,"ENSMUSG00000086752","Gm11674"
27.2163263332385,-36.7701066365947,4.301292571945,-8.54861789138134,1.2457118174251e-17,6.68114596060953e-15,"ENSMUSG00000088409","Gm25882"
550.021168356013,-12.7561728457589,1.49220998205517,-8.54851059781161,1.24687016372184e-17,6.68114596060953e-15,"ENSMUSG00000059146","Ntrk3"
62.4769198872802,-36.1021656646599,4.24006765048016,-8.51452586153232,1.67273291335699e-17,8.67392954264957e-15,"ENSMUSG00000028456","Unc13b"
100.396901410222,-23.8396072221218,2.80569026472879,-8.49687776367082,1.94758340388124e-17,9.78356350543465e-15,"ENSMUSG00000000901","Mmp11"
126.559100460203,-26.6796302397058,3.17373179167194,-8.40639095896973,4.22820060363072e-17,2.05964620313224e-14,"ENSMUSG00000041598","Cdc42ep4"
4802.31692544704,4.17256238844983,0.501010315058785,8.32829637042552,8.20139890952543e-17,3.87757316090063e-14,"ENSMUSG00000031932","Gpr83"
14032.0847307353,1.89673749000228,0.228695295067357,8.29373201334835,1.09749559108273e-16,5.04064046475855e-14,"ENSMUSG00000038332","Sesn1"
54.6697072775704,-31.2822751395173,3.792563307081,-8.24831983189601,1.60636972035467e-16,7.17288701519481e-14,"ENSMUSG00000097377","Gm10822"
50.3388486926006,-35.4520854513588,4.30421501980597,-8.23659721650173,1.7717772049673e-16,7.69765366752684e-14,"ENSMUSG00000066867","Oas1e"
43.7193380702526,-32.374789226843,3.95123626818612,-8.1935847490348,2.53558776337629e-16,1.07262034990194e-13,"ENSMUSG00000031609","Sap30"
112.355318191763,23.1684140027249,2.83171226588315,8.18176842395361,2.79708204323275e-16,1.15289984217863e-13,"ENSMUSG00000027624","Epb4.1l1"
