"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","21/357","123/5361",0.170731707317073,2.56384505021521,4.68620605572099,4.96059303870879e-05,0.0154770502807714,0.0145162617343268,"16184/22163/12977/225392/12168/16197/21949/20297/60505/12162/17329/21809/21938/66102/20300/17700/21803/20304/14561/80901/16963",21
"Human Diseases","Cancer: specific types","mmu05226","Gastric cancer","16/357","92/5361",0.173913043478261,2.61161856046767,4.16437592565036,0.00031511072096169,0.0491572724700237,0.0461056739091315,"14368/16480/15234/12043/21414/21809/93735/15461/19645/23805/16973/21803/22059/21752/12443/17126",16
