"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name"
8455.27969685177,-2.65598778393903,0.302139783095906,7.93780648643724e-20,1.27600239269479e-15,"ENSMUSG00000025810","Nrp1"
100.396901410222,0.122996438069774,0.530039563671026,1.0005525622898e-18,8.04194121940424e-15,"ENSMUSG00000000901","Mmp11"
314.239718225602,0.127670699380634,0.529948459818514,3.84967488367416e-18,2.06278412516874e-14,"ENSMUSG00000011171","Vipr2"
246.849393923015,0.185070369188646,0.558306510446747,1.164730748135e-17,4.68076169406753e-14,"ENSMUSG00000059901","Adamts14"
214.519238096617,0.138733206224357,0.535869707500645,4.67318144475029e-17,1.50242783448722e-13,"ENSMUSG00000038578","Susd1"
86.7954754972157,0.110882604161365,0.525562640563324,4.16008028684816e-16,9.87756484929117e-13,"ENSMUSG00000001435","Col18a1"
61.471351429758,0.0977272971628439,0.521587767326582,4.30127240715634e-16,9.87756484929117e-13,"ENSMUSG00000093628","Gm20616"
126.559100460203,0.0845064534932495,0.517977333444967,1.31753628384277e-15,2.35326619586361e-12,"ENSMUSG00000041598","Cdc42ep4"
62.9544803017367,0.101114123957594,0.522462045581292,1.22898175918988e-15,2.35326619586361e-12,"ENSMUSG00000097817","Gm26810"
64.7100102195495,0.0936481010033718,0.520389543337031,1.87851849359486e-15,2.8825297005761e-12,"ENSMUSG00000103303","Gm37802"
58.4669256041161,0.102856436557471,0.523150009761303,1.97249310770371e-15,2.8825297005761e-12,"ENSMUSG00000022802","Lmln"
121.555971754516,0.0942516257948054,0.520535478850885,1.04594487943695e-14,1.40113032807908e-11,"ENSMUSG00000051590","Map3k19"
776.693020955303,7.41292500913849,1.03705770680793,1.2318097218703e-14,1.52318009838962e-11,"ENSMUSG00000015745","Plekho1"
153.646270343889,0.104264472951796,0.523575669538024,1.42956348446204e-14,1.6414452151948e-11,"ENSMUSG00000040938","Slc16a11"
73.4889948326448,0.0461050832488699,0.510439585766108,1.72272093243098e-14,1.8461825992552e-11,"ENSMUSG00000027249","F2"
23917.151396324,-2.32923595089172,0.324830465697643,2.79405915091894e-14,2.80715630318888e-11,"ENSMUSG00000003882","Il7r"
492.157150109857,12.6930668076837,2.91156861392822,3.22267474302777e-14,3.04732332318655e-11,"ENSMUSG00000061143","Maml3"
293.868219386849,11.8860230699161,2.82696854171958,8.85195890613618e-14,7.9052910786744e-11,"ENSMUSG00000028910","Mecr"
197.814240991631,11.7331905148241,2.82568884627176,1.34783185362017e-13,1.14033668668127e-10,"ENSMUSG00000029575","Mmab"
140.044194089416,0.0797765429066147,0.516718903761862,1.99140107578433e-13,1.60058861466165e-10,"ENSMUSG00000107199","RP23-429P17.1"
118.413989984773,0.101833544017967,0.522232596093371,2.98391003715182e-13,2.28411208796264e-10,"ENSMUSG00000051008","4930412M03Rik"
9794.0349110187,2.79950738498419,0.417361305190763,3.99460746327585e-13,2.91878704418906e-10,"ENSMUSG00000027901","Dennd2d"
90.9431449475616,0.105571577857002,0.523924036938118,4.81030726399587e-13,3.36198648994494e-10,"ENSMUSG00000090210","Itga10"
437.980237885814,8.3742737396411,1.18556061587204,5.44681538589581e-13,3.6482315553448e-10,"ENSMUSG00000018548","Trim37"
156.231134122857,-0.0374113308911768,0.509222491498057,6.38936855852637e-13,4.10836398313246e-10,"ENSMUSG00000099568","Gm28513"
319.334954722663,12.3353751029592,2.96662872214601,6.99397318155295e-13,4.32415841897937e-10,"ENSMUSG00000073910","Mob3b"
68.6832717306483,0.0789290717080997,0.516606154875801,1.22201005776713e-12,7.01564702807378e-10,"ENSMUSG00000021265","Slc25a29"
130.120029814062,0.104355226426407,0.52287320184976,1.43937692198191e-12,7.76024355963056e-10,"ENSMUSG00000086752","Gm11674"
