"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name"
24440.2519520468,9.42552922603028,0.25544315006147,1.20264073833607e-299,1.93324498687524e-295,"ENSMUSG00000039521","Foxp3"
33457.2090845303,7.28623800887236,0.34320265342555,5.5062237173396e-102,4.4256273128117e-98,"ENSMUSG00000026770","Il2ra"
8455.27969685177,5.42615883719401,0.301869811715807,1.19139858993851e-73,6.38391077775384e-70,"ENSMUSG00000025810","Nrp1"
14594.1250343378,4.10169688391484,0.242290968333979,1.19657868088219e-65,4.8087505737953e-62,"ENSMUSG00000068227","Il2rb"
13904.7939779568,4.59475414779198,0.280656275640488,1.29361973434132e-61,4.15898744590733e-58,"ENSMUSG00000026011","Ctla4"
8312.80246610111,5.04569266082344,0.338032743691961,1.06390023822624e-51,2.85036605491448e-48,"ENSMUSG00000026950","Neb"
45301.4345487107,-2.91830255543523,0.218331346596658,9.07926622615363e-42,1.83542057760955e-38,"ENSMUSG00000000782","Tcf7"
2797.08902842802,4.18717562659416,0.314946405873844,9.13428592278468e-42,1.83542057760955e-38,"ENSMUSG00000039114","Nrn1"
33909.0079334292,4.93972852422282,0.383519586502791,2.71906696510602e-40,4.85655571823103e-37,"ENSMUSG00000025997","Ikzf2"
4802.31692544704,6.56371880134865,0.531098859544441,1.41247295387117e-39,2.27055027334791e-36,"ENSMUSG00000031932","Gpr83"
2892.66297758285,8.52693929201611,0.755668752557232,3.25457684946036e-36,4.7561202595523e-33,"ENSMUSG00000040264","Gbp2b"
3274.22351017486,3.52358447651915,0.294097281901334,3.96743950664883e-34,5.31471583911499e-31,"ENSMUSG00000028268","Gbp3"
5498.66139834012,5.03192061911483,0.433563742905372,6.31809169934947e-34,7.81256338977251e-31,"ENSMUSG00000029075","Tnfrsf4"
13985.6898072754,3.74738427761472,0.347648408820699,4.99868056492772e-29,5.73955643437236e-26,"ENSMUSG00000026358","Rgs1"
246.849393923015,-1.17136926176939,3.15891526401537,9.30783834097724e-29,9.97490008874728e-26,"ENSMUSG00000059901","Adamts14"
14362.8118876825,3.74437698511634,0.363982173759078,1.49882191003918e-26,1.50584763774249e-23,"ENSMUSG00000032420","Nt5e"
12283.7070817998,2.70421932474877,0.261343102289898,4.4397978229348e-26,4.19822058845158e-23,"ENSMUSG00000031004","Mki67"
100.396901410222,-0.478218186265315,1.16229325383405,1.10913605587122e-24,9.90520116562772e-22,"ENSMUSG00000000901","Mmp11"
5311.52916364832,4.03264175484365,0.411812184345702,1.43960490046277e-24,1.21798151447047e-21,"ENSMUSG00000026483","Fam129a"
