"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name"
8455.27969685177,4.8744615443623,0.303478944753549,5.82583222825781e-60,9.36502530692443e-56,"ENSMUSG00000025810","Nrp1"
14594.1250343378,2.98356271546047,0.243013141018601,5.42267616999938e-36,4.358475971637e-32,"ENSMUSG00000068227","Il2rb"
12283.7070817998,2.99473599906716,0.262566392929027,1.28784635952609e-31,6.90071007646065e-28,"ENSMUSG00000031004","Mki67"
6048.00603691992,2.7470070975761,0.247400577826315,4.11204683810307e-30,1.65252882306267e-26,"ENSMUSG00000038127","Ccdc50"
30125.3747119543,2.27123943287748,0.216173966730395,4.72533302027318e-27,1.51919456601783e-23,"ENSMUSG00000069833","Ahnak"
33909.0079334292,3.86825522074597,0.384132584236089,9.88423743774106e-26,2.64815194686146e-22,"ENSMUSG00000025997","Ikzf2"
150.798452089414,-0.0814428963851558,0.374738794863668,2.13557671149789e-25,4.90419937676122e-22,"ENSMUSG00000028550","Atg4c"
13904.7939779568,2.80200626828398,0.283075792639026,1.5597137302011e-24,3.13404977662283e-21,"ENSMUSG00000026011","Ctla4"
2797.08902842802,3.11176226578172,0.316100945241708,3.23226734356897e-24,5.77318861643013e-21,"ENSMUSG00000039114","Nrn1"
143.699920454324,0.0580739723539721,0.367750922691059,5.14528351067356e-24,7.9791666686023e-21,"ENSMUSG00000097519","4930558J18Rik"
122.975256579748,0.0709427245718607,0.371234944718467,5.46008294585538e-24,7.9791666686023e-21,"ENSMUSG00000005233","Spc25"
112.355318191763,-0.0583117213170509,0.367919790928865,1.57345382099938e-22,2.10777251438042e-19,"ENSMUSG00000027624","Epb4.1l1"
123.409258239492,0.0705238934104816,0.371100938767127,4.03308352740601e-22,4.98706290023474e-19,"ENSMUSG00000051378","Kif18b"
33457.2090845303,3.15963378730371,0.351986715628375,2.70460503350012e-21,3.1054661366796e-18,"ENSMUSG00000026770","Il2ra"
108.403962793441,0.0465977290242704,0.365209216935071,3.98677275104505e-21,4.27249146486994e-18,"ENSMUSG00000075592","Nynrin"
146.279998149532,0.0715161049617644,0.371286252895397,7.09539300729973e-21,7.12865266202145e-18,"ENSMUSG00000104379","Gm37509"
229.555322441093,0.0519823909100222,0.366325969157043,6.83362124569052e-19,6.46179185438089e-16,"ENSMUSG00000030854","Ptpn5"
5898.52662463186,-2.06904220421848,0.243700111707446,1.48402315949306e-18,1.32531512715838e-15,"ENSMUSG00000030748","Il4ra"
2221.95693098865,3.44979356825969,0.407653947044427,1.79624900466152e-18,1.51972119736494e-15,"ENSMUSG00000092517","Art2a-ps"
2892.66297758285,5.72944716984146,0.735739061870959,9.4848061253831e-18,7.62341292327667e-15,"ENSMUSG00000040264","Gbp2b"
3094.5459522622,4.58063094814984,0.592320018501432,1.2259481865351e-17,9.38434147550083e-15,"ENSMUSG00000071552","Tigit"
14362.8118876825,2.96060582771647,0.362104041672289,1.47014450355263e-17,1.07420785884584e-14,"ENSMUSG00000032420","Nt5e"
253.780204559172,0.0590703962493494,0.367713093974279,4.61585962787441e-17,3.22608450078614e-14,"ENSMUSG00000032783","Troap"
16578.938303164,-1.85807817125275,0.240032477748736,5.59962875904623e-16,3.75058467923618e-13,"ENSMUSG00000027985","Lef1"
33462.6056420067,2.5295779388572,0.335886767914916,9.29128297491936e-16,5.97429495287315e-13,"ENSMUSG00000055435","Maf"
82.5429490620586,0.0403568630201098,0.364062432452658,3.87657832510875e-15,2.39676909908166e-12,"ENSMUSG00000055320","Tead1"
40530.9459100328,-1.80430121859128,0.242346786221484,5.07828678417612e-15,3.02346148354189e-12,"ENSMUSG00000026581","Sell"
139.177313259852,0.04589034702721,0.365045894322458,5.27376320035758e-15,3.02770512306243e-12,"ENSMUSG00000014158","Trpv4"
1678.49567618024,-3.30346961508716,0.453421611498061,1.00542925255348e-14,5.57319835682663e-12,"ENSMUSG00000103216","Gm37248"
83.5508749054796,0.0474929319037615,0.365282039855789,2.37068343013033e-14,1.27029120464483e-11,"ENSMUSG00000005124","Wisp1"
123.067477196737,0.0433151476718749,0.364532120730505,3.87226697740231e-14,2.00795779554007e-11,"ENSMUSG00000028028","Alpk1"
100.99263193212,0.0481841515367748,0.365489101647457,4.41052526427304e-14,2.21559980072466e-11,"ENSMUSG00000064952","Gm24920"
2357.15675110361,-3.77495424218062,0.548312459727487,7.93668901529962e-14,3.86612957336186e-11,"ENSMUSG00000017493","Igfbp4"
5498.66139834012,3.01913768806263,0.433636705917952,8.47921799119586e-14,4.00892438848451e-11,"ENSMUSG00000029075","Tnfrsf4"
11286.8346019878,2.27978909614581,0.332294956134037,2.47031267502509e-13,1.13457932145795e-10,"ENSMUSG00000031933","Izumo1r"
517.501983131707,10.3865335880125,1.57729279506924,2.8512610696546e-13,1.27316726929716e-10,"ENSMUSG00000052117","D630039A03Rik"
1256.53354616805,6.98881231542315,1.07869447330741,6.27302285247979e-13,2.72537411766521e-10,"ENSMUSG00000015340","Cybb"
5096.66938331665,-1.69626711273446,0.253326614085216,1.29223322020326e-12,5.46648658283353e-10,"ENSMUSG00000006494","Pdk1"
5311.52916364832,2.72804490605066,0.41331267134771,1.40203992528117e-12,5.77892097407558e-10,"ENSMUSG00000026483","Fam129a"
87.1603888857899,0.0267066344084628,0.362214552560147,1.62537444236645e-12,6.53197354026015e-10,"ENSMUSG00000000266","Mid2"
59.4098932254908,-0.0224046777165186,0.361851371643718,1.68038899818298e-12,6.58835442580278e-10,"ENSMUSG00000065299","Gm23138"
51.3769836974265,-0.0187650999767169,0.361343335812093,1.81292935641898e-12,6.93877128677025e-10,"ENSMUSG00000052675","Zfp112"
175.179329833592,0.041075305872014,0.364132061526224,2.47888883963871e-12,9.05639502208915e-10,"ENSMUSG00000057246","BC051142"
9744.5743477621,2.32570706218868,0.354174179172078,2.60148162810282e-12,9.09104721125063e-10,"ENSMUSG00000029468","P2rx7"
