"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id","gene_name"
24440.2519520468,8.49254742278212,0.249178057664514,5.58828061687938e-256,8.9831610916336e-252,"ENSMUSG00000039521","Foxp3"
8312.80246610111,4.76293189110153,0.33994870894606,1.92820832338127e-46,1.54979743991769e-42,"ENSMUSG00000026950","Neb"
33457.2090845303,4.02913610966797,0.345570236164984,2.796070783068e-33,1.49822792792727e-29,"ENSMUSG00000026770","Il2ra"
45301.4345487107,-2.55660312955563,0.219399862903961,1.18816512128951e-32,4.77493858118224e-29,"ENSMUSG00000000782","Tcf7"
314.239718225602,-0.365562445246159,0.882282678782446,3.56304269161829e-28,1.14551822535528e-24,"ENSMUSG00000011171","Vipr2"
246.849393923015,-0.433846185087294,0.942990751145679,9.05057059965847e-26,2.42479870649183e-22,"ENSMUSG00000059901","Adamts14"
183.865568646344,-0.23078383687567,0.791767818303462,5.71568189396196e-25,1.31256552064912e-21,"ENSMUSG00000047414","Flrt2"
776.693020955303,-9.4295094357099,1.06169992621699,3.78363140395021e-22,6.7579860909444e-19,"ENSMUSG00000015745","Plekho1"
9794.0349110187,-3.80277485972949,0.410490044425514,3.52785505883239e-22,6.7579860909444e-19,"ENSMUSG00000027901","Dennd2d"
1301.0297078082,-16.2859936779277,3.79544938238371,1.23862639567082e-21,1.99109193104084e-18,"ENSMUSG00000027718","Il21"
5898.52662463186,2.24844931102967,0.24249262665378,1.72197855824703e-21,2.51643684762009e-18,"ENSMUSG00000030748","Il4ra"
86.7954754972157,-0.239100835709486,0.795626734454525,6.90580133174124e-20,9.25089636731171e-17,"ENSMUSG00000001435","Col18a1"
76.4543933708412,-0.110002034410657,0.74740451255464,4.97798875199726e-19,5.71579779916829e-16,"ENSMUSG00000083246","Gm11839"
150.798452089414,0.280621958403887,0.809025183207503,4.92598788367043e-19,5.71579779916829e-16,"ENSMUSG00000028550","Atg4c"
153.646270343889,-0.221389708022395,0.787119972262068,5.40136626524944e-19,5.78846418092565e-16,"ENSMUSG00000040938","Slc16a11"
130.120029814062,-0.249894673619006,0.801388127210104,6.0709850295355e-18,6.09944277186145e-15,"ENSMUSG00000086752","Gm11674"
550.021168356013,-14.106257477997,3.53242674579331,1.24764800638566e-17,1.17976127662644e-14,"ENSMUSG00000059146","Ntrk3"
62.9544803017367,-0.217799322052538,0.784955336362034,2.50398115889238e-17,2.23619428495528e-14,"ENSMUSG00000097817","Gm26810"
126.559100460203,-0.185021297110722,0.771261017873951,3.68469857528916e-17,3.11744892619859e-14,"ENSMUSG00000041598","Cdc42ep4"
61.471351429758,-0.144724145018241,0.75267863869152,4.82956561671343e-17,3.88176336443342e-14,"ENSMUSG00000093628","Gm20616"
4802.31692544704,4.05807176766603,0.509221336047341,8.1836107032855e-17,6.26435914549116e-14,"ENSMUSG00000031932","Gpr83"
14032.0847307353,1.85404315936274,0.231055920293361,1.10773337125715e-16,8.09400633770848e-14,"ENSMUSG00000038332","Sesn1"
